Image,Memory_Bytes
4.065833699019212,334294
1.385140769982586,334208
1.3771122823591837,334392
1.1666559156358731,334004
4.618192126483564,334368
4.582256670073992,334483
4.104690332331259,334176
2.099733806527409,334178
3.1337007215961457,334370
5.739715830921602,334331
3.611422036960356,334168
-5.511135310288001,334391
1.917898013069875,334460
-5.166265168649992,334508
-1.2142770230479163,334241
-0.2071768588313993,334472
0.742346725340532,333879
5.845705140533626,333793
-0.2049010248188292,334471
-4.003364760112596,334383
2.8765788077607155,334422
-3.012300230920633,334317
-1.5703609804873704,334328
0.3254788303451157,334282
-0.6086118164824859,334057
2.221604701487289,334388
0.5624316560660283,334237
-2.6180878555365297,334414
5.45501811418784,334387
-5.238292786874485,334480
5.246305399251508,334380
-0.8317904397008764,334439
3.7666721153672102,334251
4.892350648941964,334500
-0.1678316948168117,334444
-1.789408313438627,334582
8.061289357975276,334462
3.434996792573708,334223
6.566985769093625,334353
4.108864904932407,334417
0.3709761137081706,334316
8.033089178025197,334411
4.887277803628997,334315
1.3310628614788005,334417
6.2886839715603,334232
0.5923624658098579,333267
5.6251801634861565,334418
5.209205818520132,334513
-1.6163432741873294,334104
-9.277452857328589,334158
6.974436482389523,334329
-1.727102161061488,334402
-0.027749270298063,333848
-0.6152827658606999,333813
-4.684874067591087,334314
-3.166482029520651,334334
-1.3344755635863803,334152
-2.0012564374600927,334282
-3.833955457959,334430
-1.6542436221315224,334278
-1.8356888673312817,334198
-2.512016733772118,334540
-3.8374195594427967,333310
-5.040474555635395,334298
-5.466085776886427,334133
-3.857651242422096,334417
